t,a,v,e,n
0,0,0,0,0
0.01,3.89E-04,0.10997,0,3.89E-04
0.02,0.0028232,0.57864,0,0.0028232
0.03,0.0098409,1.4063,0,0.0098409
0.04,0.023981,2.5932,0,0.023981
0.05,0.047404,4.0319,0,0.047404
0.06,0.081354,5.571,0,0.081354
0.07,0.12622,7.1203,0,0.12622
0.08,0.18207,8.6771,0,0.18207
0.09,0.24896,10.241,0,0.24896
0.1,0.32694,11.813,0,0.32694
0.11,0.41604,13.389,0,0.41604
0.12,0.51627,14.962,0,0.51627
0.13,0.62762,16.532,0,0.62762
0.14,0.75006,18.1,0,0.75006
0.15,0.88358,19.665,0,0.88358
0.16,1.0282,21.228,0,1.0282
0.17,1.1838,22.788,0,1.1838
0.18,1.3504,24.346,0,1.3504
0.19,1.5281,25.901,0,1.5281
0.2,1.7167,27.455,0,1.7167
0.21,1.9163,29.01,0,1.9163
0.22,2.127,30.566,0,2.127
0.23,2.3486,32.122,0,2.3486
0.24,2.5813,33.679,0,2.5813
0.25,2.8249,35.237,0,2.8249
0.26,3.0796,36.796,0,3.0796
0.27,3.3453,38.355,0,3.3453
0.28,3.622,39.915,0,3.622
0.29,3.9098,41.475,0,3.9098
0.3,4.2086,43.037,0,4.2086
0.31,4.5184,44.599,0,4.5184
0.32,4.8393,46.161,0,4.8393
0.33,5.1712,47.724,0,5.1712
0.345,5.6893,50.071,-8.07E-08,5.6904
0.3675,6.5111,53.593,-5.11E-07,6.5179
0.40125,7.8442,58.884,-1.88E-06,7.8688
0.45125,10.042,66.753,-5.59E-06,10.113
0.50125,12.506,74.66,-1.15E-05,12.648
0.55125,15.238,82.605,-1.96E-05,15.474
0.60125,18.24,90.587,-3.04E-05,18.595
0.65125,21.513,98.607,-4.39E-05,22.009
0.70125,25.057,106.66,-6.05E-05,25.72
0.75125,28.875,114.75,-8.03E-05,29.728
0.80125,32.966,122.88,-1.03E-04,34.036
0.85125,37.331,131.04,-1.30E-04,38.645
0.90125,41.971,139.23,-1.60E-04,43.556
0.95125,46.886,147.46,-1.93E-04,48.772
1.0013,52.075,155.72,-2.30E-04,54.296
1.0513,57.539,164.02,-2.71E-04,60.13
1.1013,63.277,172.37,-3.15E-04,66.279
1.1513,69.289,180.76,-3.63E-04,72.744
1.2013,75.572,189.19,-4.17E-04,79.53
1.2513,82.127,197.66,-4.77E-04,86.641
1.3013,88.952,206.17,-5.44E-04,94.081
1.3513,96.045,214.72,-6.20E-04,101.85
1.4013,103.41,223.3,-7.06E-04,109.96
1.4513,111.03,231.91,-8.05E-04,118.4
1.5013,118.93,240.56,-9.16E-04,127.19
1.5513,127.09,249.24,-0.00104,136.32
1.6013,135.53,257.95,-0.0011779,145.79
1.6513,144.23,266.69,-0.0013292,155.6
1.7013,153.21,275.45,-0.0014935,165.75
1.7513,162.47,284.23,-0.0016694,176.24
1.8013,172,293.03,-0.0018542,187.08
1.8513,181.82,301.85,-0.002044,198.25
1.9013,191.91,310.67,-0.0022344,209.76
1.9513,202.29,319.52,-0.0024222,221.62
2.0013,212.94,328.39,-0.0026066,233.82
2.0513,223.87,337.26,-0.0027884,246.37
2.1013,235.07,346.16,-0.0029709,259.27
2.1513,246.54,355.07,-0.0031599,272.53
2.2013,258.29,363.99,-0.0033601,286.14
2.2513,270.3,372.9,-0.0035736,300.1
2.3013,282.59,381.78,-0.0038006,314.42
2.3513,295.16,390.64,-0.0040377,329.08
2.4012,308,399.48,-0.0042782,344.09
2.4512,321.12,408.29,-0.0045169,359.44
